,positions,locations,company_names,posted_dates,descriptions
8,Data Scientist,"Chicago, IL, USA",NICE Systems,Posted 10 days ago,"Position at NICE At NICE-Mattersight, Data Scientists serve as subject matter experts on the application of statistics and machine learning in NICE-Mattersight products. Data Scientists conduct research, create internal and external software products, and execute and fine-tune existing methodology. At NICE-Mattersight, we help our clients improve their customer experience. When customers call in, our Enlighten AI Routing product matches customers with the best representative available. As a Dat"
9,Data Scientist,"Washington, DC, USA",Jobot,Posted 12 days ago,"This Jobot Job is hosted by: Gordon Gunn Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $130,000 - $170,000 per year A bit about us: A Washington DC company working for the Defense Intelligence Agency is looking to bring on a Cleared Data Scientist. The Defense Intelligence Agency specializes in defense and military intelligence. They are looking for someone with several years in a professional data science environment and someone that is v"
10,Data Scientist,Remote,Ampcus Inc,Posted 14 days ago,"TOP THINGS: Oracle Advanced AnalyticsOracle Data MiningOracle query performance tuning and indexingMinimum Qualifications: 2-4 years of professional experience in Oracle Data Mining3-5 years of experience in performing advanced analytics inside Oracle3-5 years of experience in Natural Language Processing (NLP)BA/BS in Business, Engineering, Computer Science/Information Systems or equivalent3-5 years of experience in using relational databases – DML, DDL, DCL and TCL1-3 years of experience with S"
11,Data Scientist III,"Medford, MA, USA",Cell Signaling Technology,Posted 4 days ago,"Who we are Cell Signaling Technology, Inc. (CST) is a private, family-owned, worldwide leader in the development and commercialization of antibodies, assays and research tools. As a company of scientists for scientists, we have developed XMT® technology, a proprietary method to develop exceptional monoclonal antibodies, PTMScan®, a technology to discover protein post-translational modifications, and PhosphoSitePlus®, an online resource for investigation of post-translational modifications. We a"
12,Data Scientist III,"Salem, MA, USA",Cell Signaling Technology,Posted 4 days ago,"Who we are Cell Signaling Technology, Inc. (CST) is a private, family-owned, worldwide leader in the development and commercialization of antibodies, assays and research tools. As a company of scientists for scientists, we have developed XMT® technology, a proprietary method to develop exceptional monoclonal antibodies, PTMScan®, a technology to discover protein post-translational modifications, and PhosphoSitePlus®, an online resource for investigation of post-translational modifications. We a"
13,Data Scientist III,"Lynn, MA, USA",Cell Signaling Technology,Posted 4 days ago,"Who we are Cell Signaling Technology, Inc. (CST) is a private, family-owned, worldwide leader in the development and commercialization of antibodies, assays and research tools. As a company of scientists for scientists, we have developed XMT® technology, a proprietary method to develop exceptional monoclonal antibodies, PTMScan®, a technology to discover protein post-translational modifications, and PhosphoSitePlus®, an online resource for investigation of post-translational modifications. We a"
14,Data Scientist III,"Beverly, MA, USA",Cell Signaling Technology,Posted 4 days ago,"Who we are Cell Signaling Technology, Inc. (CST) is a private, family-owned, worldwide leader in the development and commercialization of antibodies, assays and research tools. As a company of scientists for scientists, we have developed XMT® technology, a proprietary method to develop exceptional monoclonal antibodies, PTMScan®, a technology to discover protein post-translational modifications, and PhosphoSitePlus®, an online resource for investigation of post-translational modifications. We a"
15,Data Scientist III,"Haverhill, MA, USA",Cell Signaling Technology,Posted 4 days ago,"Who we are Cell Signaling Technology, Inc. (CST) is a private, family-owned, worldwide leader in the development and commercialization of antibodies, assays and research tools. As a company of scientists for scientists, we have developed XMT® technology, a proprietary method to develop exceptional monoclonal antibodies, PTMScan®, a technology to discover protein post-translational modifications, and PhosphoSitePlus®, an online resource for investigation of post-translational modifications. We a"
16,Data Scientist III,"Chelsea, MA, USA",Cell Signaling Technology,Posted 4 days ago,"Who we are Cell Signaling Technology, Inc. (CST) is a private, family-owned, worldwide leader in the development and commercialization of antibodies, assays and research tools. As a company of scientists for scientists, we have developed XMT® technology, a proprietary method to develop exceptional monoclonal antibodies, PTMScan®, a technology to discover protein post-translational modifications, and PhosphoSitePlus®, an online resource for investigation of post-translational modifications. We a"
17,Data Scientist III,"Malden, MA, USA",Cell Signaling Technology,Posted 4 days ago,"Who we are Cell Signaling Technology, Inc. (CST) is a private, family-owned, worldwide leader in the development and commercialization of antibodies, assays and research tools. As a company of scientists for scientists, we have developed XMT® technology, a proprietary method to develop exceptional monoclonal antibodies, PTMScan®, a technology to discover protein post-translational modifications, and PhosphoSitePlus®, an online resource for investigation of post-translational modifications. We a"
18,Data Scientist III,"Somerville, MA, USA",Cell Signaling Technology,Posted 4 days ago,"Who we are Cell Signaling Technology, Inc. (CST) is a private, family-owned, worldwide leader in the development and commercialization of antibodies, assays and research tools. As a company of scientists for scientists, we have developed XMT® technology, a proprietary method to develop exceptional monoclonal antibodies, PTMScan®, a technology to discover protein post-translational modifications, and PhosphoSitePlus®, an online resource for investigation of post-translational modifications. We a"
